REGION,Start,End,RSI,CATEGORY,TERM1PCT,TERM2PCT,TERM3PCT,TERM4PCT,AREA0,POP0,AREA1,POP1,AREA2,POP2,AREA3,POP3,AREA4,POP4,STORM_ID,REGION_CODE,YEAR,MONTH
National,12/19/1920,12/24/1920,0,0,0,0,0,0,1725900,115404062,1008367,50660062,334322,18377462,19354,790562,855,7714,19201219_19201224_1,110,1920,12
Northeast,12/19/1920,12/24/1920,0.118,0,1,0,0,0,131012,17147127,16884,263527,0,0,0,0,0,0,19201219_19201224_1,101,1920,12
Northern Rockies and Plains,12/19/1920,12/24/1920,3.254,2,0.46,0.53,0.01,0,395835,4235856,146244,2508786,56583,1528381,442,2791,0,0,19201219_19201224_1,105,1920,12
Ohio Valley,12/19/1920,12/24/1920,0.075,0,1,0,0,0,160160,31016087,9283,683587,0,0,0,0,0,0,19201219_19201224_1,103,1920,12
South,12/19/1920,12/24/1920,0.195,0,0.75,0.25,0,0,42543,451469,25456,201976,3613,14394,0,0,0,0,19201219_19201224_1,106,1920,12
Southeast,12/19/1920,12/24/1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19201219_19201224_1,104,1920,12
Upper Midwest,12/19/1920,12/24/1920,3.07,2,0.52,0.47,0.01,0.01,242988,23794238,153164,11979738,64713,5785238,461,9188,19,104,19201219_19201224_1,102,1920,12
National,4/15/1920,4/19/1920,0,0,0,0,0,0,986411,25468820,770964,21470760,350111,8518860,130984,5048190,64569,3838030,19200415_19200419_1,110,1920,4
Northeast,4/15/1920,4/19/1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19200415_19200419_1,101,1920,4
Northern Rockies and Plains,4/15/1920,4/19/1920,20.844,5,0.07,0.08,0.23,0.61,350813,2420510,253262,1541551,124478,707568,59860,409380,33875,240924,19200415_19200419_1,105,1920,4
Ohio Valley,4/15/1920,4/19/1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19200415_19200419_1,103,1920,4
South,4/15/1920,4/19/1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19200415_19200419_1,106,1920,4
Southeast,4/15/1920,4/19/1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19200415_19200419_1,104,1920,4
Upper Midwest,4/15/1920,4/19/1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19200415_19200419_1,102,1920,4
National,2/4/1920,2/7/1920,0,0,0,0,0,0,269080,78899220,211064,67134720,150761,55918320,95139,37672820,11926,1696320,19200204_19200207_1,110,1920,2
Northeast,2/4/1920,2/7/1920,6.028,3,0.35,0.5,0.13,0.02,174594,58908334,156518,55924934,109938,40765934,5285,677434,38,9723,19200204_19200207_1,101,1920,2
Northern Rockies and Plains,2/4/1920,2/7/1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19200204_19200207_1,105,1920,2
Ohio Valley,2/4/1920,2/7/1920,0.297,0,0.27,0.24,0.48,0,62743,11333178,8725,952378,4487,339750,1566,169367,0,0,19200204_19200207_1,103,1920,2
South,2/4/1920,2/7/1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19200204_19200207_1,106,1920,2
Southeast,2/4/1920,2/7/1920,0.983,0,0.45,0.39,0.16,0,29685,6870605,20267,4638945,5977,2744625,1422,209955,0,0,19200204_19200207_1,104,1920,2
Upper Midwest,2/4/1920,2/7/1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19200204_19200207_1,102,1920,2
National,1/4/1920,1/10/1920,0,0,0,0,0,0,1178320,123551063,860902,79914163,328892,26949263,41044,1435263,3228,280913,19200104_19200110_1,110,1920,1
Northeast,1/4/1920,1/10/1920,0.655,0,0.99,0.01,0,0,133386,44363760,55805,14195760,153,108760,0,0,0,0,19200104_19200110_1,101,1920,1
Northern Rockies and Plains,1/4/1920,1/10/1920,0.277,0,0.49,0.52,0,0,93447,560890,20565,147155,9215,72353,0,0,0,0,19200104_19200110_1,105,1920,1
Ohio Valley,1/4/1920,1/10/1920,3.12,2,0.53,0.46,0.01,0,205509,38020125,148753,24197725,64819,11450125,163,57825,0,0,19200104_19200110_1,103,1920,1
South,1/4/1920,1/10/1920,3.584,2,0.39,0.46,0.15,0,262968,16087149,161832,7006339,70931,3240579,5064,142199,0,0,19200104_19200110_1,106,1920,1
Southeast,1/4/1920,1/10/1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19200104_19200110_1,104,1920,1
Upper Midwest,1/4/1920,1/10/1920,0.479,0,0.97,0.03,0,0,32770,9315832,14530,6703202,345,74942,0,0,0,0,19200104_19200110_1,102,1920,1
National,12/9/1919,12/14/1919,0,0,0,0,0,0,1302117,110326630,750376,29110430,350043,11819530,99972,4705580,32404,3299700,19191209_19191214_1,110,1919,12
Northeast,12/9/1919,12/14/1919,0.004,0,1,0,0,0,166406,53716843,374,53743,0,0,0,0,0,0,19191209_19191214_1,101,1919,12
Northern Rockies and Plains,12/9/1919,12/14/1919,2.343,1,0.49,0.39,0.12,0,372243,2526507,169510,1317747,55276,502050,2248,38049,0,0,19191209_19191214_1,105,1919,12
Ohio Valley,12/9/1919,12/14/1919,0.003,0,1,0,0,0,133386,22613104,278,46404,0,0,0,0,0,0,19191209_19191214_1,103,1919,12
South,12/9/1919,12/14/1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19191209_19191214_1,106,1919,12
Southeast,12/9/1919,12/14/1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19191209_19191214_1,104,1919,12
Upper Midwest,12/9/1919,12/14/1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19191209_19191214_1,102,1919,12
National,11/25/1919,11/28/1919,0,0,0,0,0,0,1660409,100608467,857271,48388267,287521,14013967,93553,1508167,20921,308287,19191125_19191128_1,110,1919,11
Northeast,11/25/1919,11/28/1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19191125_19191128_1,101,1919,11
Northern Rockies and Plains,11/25/1919,11/28/1919,2.636,1,0.62,0.33,0.05,0,433852,4615052,169731,2608072,52172,480142,2316,5659,38,163,19191125_19191128_1,105,1919,11
Ohio Valley,11/25/1919,11/28/1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19191125_19191128_1,103,1919,11
South,11/25/1919,11/28/1919,0.452,0,0.9,0.1,0,0,182974,5773081,64771,929311,3084,23950,0,0,0,0,19191125_19191128_1,106,1919,11
Southeast,11/25/1919,11/28/1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19191125_19191128_1,104,1919,11
Upper Midwest,11/25/1919,11/28/1919,0.681,0,0.98,0.02,0,0,251119,23881572,59572,5536872,711,63872,0,0,0,0,19191125_19191128_1,102,1919,11
National,4/5/1919,4/11/1919,0,0,0,0,0,0,1206902,35638474,905407,23424474,357233,8390774,37479,1707954,3584,127044,19190405_19190411_1,110,1919,4
Northeast,4/5/1919,4/11/1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19190405_19190411_1,101,1919,4
Northern Rockies and Plains,4/5/1919,4/11/1919,6.345,3,0.38,0.34,0.17,0.11,430239,4552146,317427,3175026,138066,1092156,11810,113853,1009,19611,19190405_19190411_1,105,1919,4
Ohio Valley,4/5/1919,4/11/1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19190405_19190411_1,103,1919,4
South,4/5/1919,4/11/1919,2.1,1,0.27,0.46,0.25,0.02,123930,3461455,90603,1223615,63406,742148,6573,57673,76,488,19190405_19190411_1,106,1919,4
Southeast,4/5/1919,4/11/1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19190405_19190411_1,104,1919,4
Upper Midwest,4/5/1919,4/11/1919,0.32,0,0.86,0.14,0,0,113849,5933565,38978,792395,3123,69989,0,0,0,0,19190405_19190411_1,102,1919,4
National,12/21/1918,12/26/1918,0,0,0,0,0,0,1229136,144993925,735443,50445725,310681,19628825,29002,593925,7111,16984,19181221_19181226_1,110,1918,12
Northeast,12/21/1918,12/26/1918,0.209,0,0.72,0.28,0,0,166311,57768628,20796,599428,4103,42523,0,0,0,0,19181221_19181226_1,101,1918,12
Northern Rockies and Plains,12/21/1918,12/26/1918,0.051,0,1,0,0,0,73862,1927528,4997,85208,0,0,0,0,0,0,19181221_19181226_1,105,1918,12
Ohio Valley,12/21/1918,12/26/1918,2.304,1,0.41,0.51,0.08,0,243815,41653387,78561,15243387,50481,9813307,1662,239987,0,0,19181221_19181226_1,103,1918,12
South,12/21/1918,12/26/1918,10.61,4,0.17,0.28,0.53,0.02,255443,9589761,218925,8625607,138595,5534107,41169,1995397,336,2367,19181221_19181226_1,106,1918,12
Southeast,12/21/1918,12/26/1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19181221_19181226_1,104,1918,12
Upper Midwest,12/21/1918,12/26/1918,1.32,1,0.79,0.21,0,0,127390,17483100,70268,11087350,11983,1170120,0,0,0,0,19181221_19181226_1,102,1918,12
National,1/25/1918,1/29/1918,0,0,0,0,0,0,1798147,164464452,1128368,112227952,298102,28618352,21315,1836452,682,13342,19180125_19180129_1,110,1918,1
Northeast,1/25/1918,1/29/1918,1.261,1,0.71,0.28,0,0,171673,58886325,60264,25508725,13434,4754725,28,4115,0,0,19180125_19180129_1,101,1918,1
Northern Rockies and Plains,1/25/1918,1/29/1918,3.297,2,0.58,0.41,0,0,396018,4204537,213207,2959587,67654,934077,153,804,0,0,19180125_19180129_1,105,1918,1
Ohio Valley,1/25/1918,1/29/1918,0.941,0,0.68,0.19,0.13,0.01,255472,42303501,54219,9825001,9302,1173691,1162,160681,19,1963,19180125_19180129_1,103,1918,1
South,1/25/1918,1/29/1918,0.915,0,0.89,0.11,0,0,222183,10494912,89315,4389762,4766,164222,0,0,0,0,19180125_19180129_1,106,1918,1
Southeast,1/25/1918,1/29/1918,1.031,1,0.52,0.45,0.03,0,39122,7722787,25168,5581757,7390,3222987,240,54647,0,0,19180125_19180129_1,104,1918,1
Upper Midwest,1/25/1918,1/29/1918,1.341,1,0.81,0.19,0,0,222068,23493128,100011,8832228,15654,566898,0,0,0,0,19180125_19180129_1,102,1918,1
National,1/21/1918,1/23/1918,0,0,0,0,0,0,914241,165617904,488641,99847204,36248,13082900,0,0,0,0,19180121_19180123_1,110,1918,1
Northeast,1/21/1918,1/23/1918,1.078,1,1,0,0,0,164801,58794700,50125,38241700,0,0,0,0,0,0,19180121_19180123_1,101,1918,1
Northern Rockies and Plains,1/21/1918,1/23/1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19180121_19180123_1,105,1918,1
Ohio Valley,1/21/1918,1/23/1918,0.887,0,0.94,0.06,0,0,259018,45361750,91852,9334450,3007,338290,0,0,0,0,19180121_19180123_1,103,1918,1
South,1/21/1918,1/23/1918,2.348,1,0.75,0.25,0,0,332880,23827240,153413,11806540,24207,1260340,0,0,0,0,19180121_19180123_1,106,1918,1
Southeast,1/21/1918,1/23/1918,2.455,1,0.64,0.36,0,0,136058,27719590,77110,15801190,22497,4483090,0,0,0,0,19180121_19180123_1,104,1918,1
Upper Midwest,1/21/1918,1/23/1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19180121_19180123_1,102,1918,1
National,1/12/1918,1/16/1918,0,0,0,0,0,0,1571062,156883823,983026,112937723,351784,46367423,36268,2542923,1105,143343,19180112_19180116_1,110,1918,1
Northeast,1/12/1918,1/16/1918,2.114,1,0.75,0.24,0.01,0,170856,58287560,150954,29996560,31828,1619960,153,13950,0,0,19180112_19180116_1,101,1918,1
Northern Rockies and Plains,1/12/1918,1/16/1918,0.399,0,0.82,0.18,0,0,199224,1464025,45032,412515,4814,32443,9,97,0,0,19180112_19180116_1,105,1918,1
Ohio Valley,1/12/1918,1/16/1918,5.784,2,0.31,0.37,0.27,0.05,290702,41392794,170375,24140594,103701,15770614,17451,1780214,365,96294,19180112_19180116_1,103,1918,1
South,1/12/1918,1/16/1918,4.665,2,0.34,0.45,0.13,0.08,262381,17887198,111821,12481068,37459,6988608,4209,233718,307,15700,19180112_19180116_1,106,1918,1
Southeast,1/12/1918,1/16/1918,0.772,0,0.81,0.19,0,0,47569,8728168,31270,6116648,4641,576018,0,0,0,0,19180112_19180116_1,104,1918,1
Upper Midwest,1/12/1918,1/16/1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19180112_19180116_1,102,1918,1
National,1/9/1918,1/13/1918,0,0,0,0,0,0,1883089,208682513,1221037,124720017,296670,41166321,10225,4199521,57,9361,19180109_19180113_1,110,1918,1
Northeast,1/9/1918,1/13/1918,0.726,0,0.77,0.23,0,0,168675,58052480,50462,11305380,4632,2884750,0,0,0,0,19180109_19180113_1,101,1918,1
Northern Rockies and Plains,1/9/1918,1/13/1918,0.159,0,1,0,0,0,204683,2896532,18201,237132,0,0,0,0,0,0,19180109_19180113_1,105,1918,1
Ohio Valley,1/9/1918,1/13/1918,6.153,3,0.43,0.45,0.12,0,308961,49254004,238664,39015804,119471,22456804,1777,2006004,9,8734,19180109_19180113_1,103,1918,1
South,1/9/1918,1/13/1918,6.852,3,0.52,0.38,0.1,0,529049,39271972,363940,20906572,106728,5569872,4564,244952,0,0,19180109_19180113_1,106,1918,1
Southeast,1/9/1918,1/13/1918,1.366,1,0.89,0.11,0,0,125871,23015811,68682,10371311,4632,573971,48,3068,0,0,19180109_19180113_1,104,1918,1
Upper Midwest,1/9/1918,1/13/1918,2.534,1,0.52,0.44,0.05,0,213966,23318241,80954,14735181,36018,5954671,557,94471,0,0,19180109_19180113_1,102,1918,1
National,1/5/1918,1/10/1918,0,0,0,0,0,0,891671,142680013,397402,53783613,133521,23709213,11080,8786513,922,158013,19180105_19180110_1,110,1918,1
Northeast,1/5/1918,1/10/1918,0.712,0,0.7,0.06,0.07,0.17,168703,54270816,59985,5088916,2104,285056,345,41822,76,9293,19180105_19180110_1,101,1918,1
Northern Rockies and Plains,1/5/1918,1/10/1918,0.004,0,1,0,0,0,77783,2138373,422,7563,0,0,0,0,0,0,19180105_19180110_1,105,1918,1
Ohio Valley,1/5/1918,1/10/1918,4.81,2,0.24,0.28,0.47,0,304665,48301619,97733,18571619,48011,12994599,4132,6433559,28,2029,19180105_19180110_1,103,1918,1
South,1/5/1918,1/10/1918,0.092,0,1,0,0,0,88162,5850576,5179,797236,0,0,0,0,0,0,19180105_19180110_1,106,1918,1
Southeast,1/5/1918,1/10/1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19180105_19180110_1,104,1918,1
Upper Midwest,1/5/1918,1/10/1918,4.154,2,0.37,0.34,0.25,0.05,204894,23053182,120922,14657072,47780,7234402,1893,1193242,144,5872,19180105_19180110_1,102,1918,1
National,12/12/1917,12/15/1917,0,0,0,0,0,0,930535,152784141,297140,89912941,110053,42290141,39410,10134441,5516,921081,19171212_19171215_1,110,1917,12
Northeast,12/12/1917,12/15/1917,4.354,2,0.43,0.35,0.16,0.07,172941,58890720,140747,47749620,59591,18676620,4026,709520,96,37679,19171212_19171215_1,101,1917,12
Northern Rockies and Plains,12/12/1917,12/15/1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19171212_19171215_1,105,1917,12
Ohio Valley,12/12/1917,12/15/1917,0.718,0,0.78,0.22,0,0,278930,46794440,27667,12095640,1797,2253890,0,0,0,0,19171212_19171215_1,103,1917,12
South,12/12/1917,12/15/1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19171212_19171215_1,106,1917,12
Southeast,12/12/1917,12/15/1917,0.29,0,0.92,0.08,0,0,84933,17886455,8985,3467355,86,206135,0,0,0,0,19171212_19171215_1,104,1917,12
Upper Midwest,12/12/1917,12/15/1917,0.33,0,0.94,0.04,0.02,0,213159,23285244,18979,3485344,836,37824,57,2271,0,0,19171212_19171215_1,102,1917,12
National,12/6/1917,12/9/1917,0,0,0,0,0,0,1868119,178497159,965402,124569659,248427,30872259,27311,3747159,297,38089,19171206_19171209_1,110,1917,12
Northeast,12/6/1917,12/9/1917,1.247,1,0.89,0.11,0,0,170424,58692200,118683,16078500,6928,1207200,0,0,0,0,19171206_19171209_1,101,1917,12
Northern Rockies and Plains,12/6/1917,12/9/1917,1.074,1,0.93,0.07,0,0,453880,4758370,75928,1890200,3872,51360,0,0,0,0,19171206_19171209_1,105,1917,12
Ohio Valley,12/6/1917,12/9/1917,6.616,3,0.32,0.35,0.33,0.01,308682,49232010,195082,29808910,112629,16467310,21603,2878710,86,19500,19171206_19171209_1,103,1917,12
South,12/6/1917,12/9/1917,2.775,1,0.39,0.38,0.18,0.05,256058,12744243,107958,6580473,37392,2480633,4084,164483,134,4939,19171206_19171209_1,106,1917,12
Southeast,12/6/1917,12/9/1917,1.199,1,0.67,0.33,0,0,66635,12867850,40275,7754550,13098,1504020,0,0,0,0,19171206_19171209_1,104,1917,12
Upper Midwest,12/6/1917,12/9/1917,0.827,0,0.87,0.12,0.01,0,218502,20768017,57756,6658117,6227,228947,96,2095,0,0,19171206_19171209_1,102,1917,12
National,3/2/1917,3/6/1917,0,0,0,0,0,0,955024,153761850,427058,94533250,242306,70778650,34269,20614850,1508,428850,19170302_19170306_1,110,1917,3
Northeast,3/2/1917,3/6/1917,4.661,2,0.49,0.5,0.02,0,173691,58820367,169818,57758167,61436,40271767,365,152067,0,0,19170302_19170306_1,101,1917,3
Northern Rockies and Plains,3/2/1917,3/6/1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19170302_19170306_1,105,1917,3
Ohio Valley,3/2/1917,3/6/1917,3.776,2,0.4,0.43,0.13,0.04,308961,49253906,134885,21824606,79695,11648006,5871,531906,355,17777,19170302_19170306_1,103,1917,3
South,3/2/1917,3/6/1917,0.656,0,0.97,0.03,0,0,321675,22068691,61215,3919391,874,41531,0,0,0,0,19170302_19170306_1,106,1917,3
Southeast,3/2/1917,3/6/1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19170302_19170306_1,104,1917,3
Upper Midwest,3/2/1917,3/6/1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19170302_19170306_1,102,1917,3
National,2/21/1917,2/24/1917,0,0,0,0,0,0,986380,59792907,549963,35395307,107103,4802107,14684,1308537,807,125067,19170221_19170224_1,110,1917,2
Northeast,2/21/1917,2/24/1917,0.061,0,1,0,0,0,110073,31376390,4632,1561290,0,0,0,0,0,0,19170221_19170224_1,101,1917,2
Northern Rockies and Plains,2/21/1917,2/24/1917,0.743,0,0.88,0.12,0,0,314785,2357919,100732,712809,6602,33749,0,0,0,0,19170221_19170224_1,105,1917,2
Ohio Valley,2/21/1917,2/24/1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19170221_19170224_1,103,1917,2
South,2/21/1917,2/24/1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19170221_19170224_1,106,1917,2
Southeast,2/21/1917,2/24/1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19170221_19170224_1,104,1917,2
Upper Midwest,2/21/1917,2/24/1917,0.037,0,1,0,0,0,83241,5032965,5881,36995,0,0,0,0,0,0,19170221_19170224_1,102,1917,2
National,2/17/1917,2/20/1917,0,0,0,0,0,0,1262564,109407102,797421,49421402,227959,15887202,40189,5372202,317,3392,19170217_19170220_1,110,1917,2
Northeast,2/17/1917,2/20/1917,0.08,0,1,0,0,0,116675,37163442,11407,170942,0,0,0,0,0,0,19170217_19170220_1,101,1917,2
Northern Rockies and Plains,2/17/1917,2/20/1917,0.588,0,0.81,0.19,0,0,326134,3886127,71479,539587,4478,88051,0,0,0,0,19170217_19170220_1,105,1917,2
Ohio Valley,2/17/1917,2/20/1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19170217_19170220_1,103,1917,2
South,2/17/1917,2/20/1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19170217_19170220_1,106,1917,2
Southeast,2/17/1917,2/20/1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19170217_19170220_1,104,1917,2
Upper Midwest,2/17/1917,2/20/1917,0.826,0,1,0,0,0,213534,20620798,82338,5951598,76,15608,0,0,0,0,19170217_19170220_1,102,1917,2
National,1/19/1917,1/23/1917,0,0,0,0,0,0,1441249,155061571,955925,103242671,278132,19149967,27830,3651867,2604,168177,19170119_19170123_1,110,1917,1
Northeast,1/19/1917,1/23/1917,0.505,0,0.99,0.01,0,0,173008,58733987,60648,4789987,355,26247,0,0,0,0,19170119_19170123_1,101,1917,1
Northern Rockies and Plains,1/19/1917,1/23/1917,2.047,1,0.56,0.43,0.01,0,364921,3966419,167118,1358209,44100,587961,278,2565,0,0,19170119_19170123_1,105,1917,1
Ohio Valley,1/19/1917,1/23/1917,0.315,0,1,0,0,0,129081,29675610,18701,6270410,0,0,0,0,0,0,19170119_19170123_1,103,1917,1
South,1/19/1917,1/23/1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19170119_19170123_1,106,1917,1
Southeast,1/19/1917,1/23/1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19170119_19170123_1,104,1917,1
Upper Midwest,1/19/1917,1/23/1917,6.532,3,0.28,0.24,0.34,0.14,244180,23836271,166839,14601261,69586,6651021,10004,1971211,624,32741,19170119_19170123_1,102,1917,1
National,1/13/1917,1/16/1917,0,0,0,0,0,0,828163,65946880,408002,25314780,14184,1286480,0,0,0,0,19170113_19170116_1,110,1917,1
Northeast,1/13/1917,1/16/1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19170113_19170116_1,101,1917,1
Northern Rockies and Plains,1/13/1917,1/16/1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19170113_19170116_1,105,1917,1
Ohio Valley,1/13/1917,1/16/1917,0.459,0,0.93,0.07,0,0,250205,33090395,47050,4834895,1595,204545,0,0,0,0,19170113_19170116_1,103,1917,1
South,1/13/1917,1/16/1917,4.242,2,0.59,0.41,0,0,399208,24593170,247726,15184790,35845,5546500,0,0,0,0,19170113_19170116_1,106,1917,1
Southeast,1/13/1917,1/16/1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19170113_19170116_1,104,1917,1
Upper Midwest,1/13/1917,1/16/1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19170113_19170116_1,102,1917,1
National,3/2/1916,3/9/1916,0,0,0,0,0,0,1617852,169969360,849571,93236760,399208,56138460,121787,23725960,21612,2239860,19160302_19160309_1,110,1916,3
Northeast,3/2/1916,3/9/1916,4.44,2,0.39,0.5,0.12,0,174200,58903443,129590,43416143,88719,27087543,4199,190643,0,0,19160302_19160309_1,101,1916,3
Northern Rockies and Plains,3/2/1916,3/9/1916,1.928,1,0.45,0.18,0.28,0.08,356742,3877071,130388,972841,22064,190764,6534,49419,528,2218,19160302_19160309_1,105,1916,3
Ohio Valley,3/2/1916,3/9/1916,0.075,0,0.94,0.06,0,0,262526,44987792,6554,991492,259,23859,0,0,0,0,19160302_19160309_1,103,1916,3
South,3/2/1916,3/9/1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19160302_19160309_1,106,1916,3
Southeast,3/2/1916,3/9/1916,0.226,0,0.91,0.09,0,0,55142,13455787,10801,1905787,788,58677,0,0,0,0,19160302_19160309_1,104,1916,3
Upper Midwest,3/2/1916,3/9/1916,2.485,1,0.49,0.44,0.06,0,247794,23561352,123373,8806052,70710,2260302,1652,43442,0,0,19160302_19160309_1,102,1916,3
National,1/31/1916,2/8/1916,0,0,0,0,0,0,1599307,127220120,963259,78989320,299120,14240520,140046,8784990,71738,6245330,19160131_19160208_1,110,1916,1
Northeast,1/31/1916,2/8/1916,0.225,0,0.99,0.01,0,0,153548,33258284,24755,2895584,192,8784,0,0,0,0,19160131_19160208_1,101,1916,1
Northern Rockies and Plains,1/31/1916,2/8/1916,1.076,1,0.62,0.28,0.1,0,400909,4360171,83049,932751,21660,126333,1614,6513,0,0,19160131_19160208_1,105,1916,1
Ohio Valley,1/31/1916,2/8/1916,1.467,1,0.91,0.09,0,0,202424,37873275,116050,20424275,7563,700275,0,0,0,0,19160131_19160208_1,103,1916,1
South,1/31/1916,2/8/1916,0.111,0,1,0,0,0,90929,3466800,5199,1026190,0,0,0,0,0,0,19160131_19160208_1,106,1916,1
Southeast,1/31/1916,2/8/1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19160131_19160208_1,104,1916,1
Upper Midwest,1/31/1916,2/8/1916,1.143,1,0.94,0.06,0,0,202376,22993608,83145,10208108,4161,209188,0,0,0,0,19160131_19160208_1,102,1916,1
National,1/24/1916,1/28/1916,0,0,0,0,0,0,1537881,49399599,938332,28839499,231716,8500399,15645,2353759,297,1279,19160124_19160128_1,110,1916,1
Northeast,1/24/1916,1/28/1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19160124_19160128_1,101,1916,1
Northern Rockies and Plains,1/24/1916,1/28/1916,2.325,1,0.74,0.25,0.01,0,465537,4828315,198879,2550925,42457,246865,124,2414,0,0,19160124_19160128_1,105,1916,1
Ohio Valley,1/24/1916,1/28/1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19160124_19160128_1,103,1916,1
South,1/24/1916,1/28/1916,0.203,0,1,0,0,0,121931,4662310,18595,1311290,0,0,0,0,0,0,19160124_19160128_1,106,1916,1
Southeast,1/24/1916,1/28/1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19160124_19160128_1,104,1916,1
Upper Midwest,1/24/1916,1/28/1916,1.418,1,0.67,0.32,0.01,0,177323,9262740,105440,5884580,24265,1476190,76,890,0,0,19160124_19160128_1,102,1916,1
National,1/17/1916,1/22/1916,0,0,0,0,0,0,1299132,62247820,748871,35992720,362364,21650420,113715,10260220,19364,2980130,19160117_19160122_1,110,1916,1
Northeast,1/17/1916,1/22/1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19160117_19160122_1,101,1916,1
Northern Rockies and Plains,1/17/1916,1/22/1916,0.298,0,0.85,0.15,0,0,213226,3100677,27609,396307,1864,33441,0,0,0,0,19160117_19160122_1,105,1916,1
Ohio Valley,1/17/1916,1/22/1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19160117_19160122_1,103,1916,1
South,1/17/1916,1/22/1916,0.287,0,0.99,0.01,0,0,214226,7211148,36018,1226808,163,438,0,0,0,0,19160117_19160122_1,106,1916,1
Southeast,1/17/1916,1/22/1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19160117_19160122_1,104,1916,1
Upper Midwest,1/17/1916,1/22/1916,0.087,0,1,0,0,0,117203,7447434,10926,405824,0,0,0,0,0,0,19160117_19160122_1,102,1916,1
National,1/12/1916,1/16/1916,0,0,0,0,0,0,982555,42184940,664368,26143740,268609,14388740,57929,3275040,18710,1016820,19160112_19160116_1,110,1916,1
Northeast,1/12/1916,1/16/1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19160112_19160116_1,101,1916,1
Northern Rockies and Plains,1/12/1916,1/16/1916,0.424,0,0.83,0.14,0.03,0,225921,1635514,56679,359694,3815,30903,163,856,0,0,19160112_19160116_1,105,1916,1
Ohio Valley,1/12/1916,1/16/1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19160112_19160116_1,103,1916,1
South,1/12/1916,1/16/1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19160112_19160116_1,106,1916,1
Southeast,1/12/1916,1/16/1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19160112_19160116_1,104,1916,1
